Date,Demand
2011-10-16,0
2011-10-17,4
2011-10-18,35
2011-10-19,2
2011-10-20,21
2011-10-21,0
2011-10-22,0
2011-10-23,0
2011-10-24,0
2011-10-25,5
2011-10-26,0
2011-10-27,16
2011-10-28,13
2011-10-29,0
2011-10-30,0
2011-10-31,7
2011-11-01,1
2011-11-02,0
2011-11-03,12
2011-11-04,0
2011-11-05,0
2011-11-06,1
2011-11-07,12
2011-11-08,0
2011-11-09,0
2011-11-10,1
2011-11-11,14
2011-11-12,0
2011-11-13,8
2011-11-14,73
2011-11-15,4
2011-11-16,1
2011-11-17,0
2011-11-18,12
2011-11-19,0
2011-11-20,0
2011-11-21,8
2011-11-22,2
2011-11-23,2
2011-11-24,0
2011-11-25,8
2011-11-26,0
2011-11-27,2
2011-11-28,1
2011-11-29,0
2011-11-30,11
2011-12-01,0
2011-12-02,2
2011-12-03,0
2011-12-04,0
2011-12-05,25
2011-12-06,2
2011-12-07,0
2011-12-08,10
